Depth comp r [rmcd],Age model [ka]
153.591,4987
154.241,5014
154.691,5036
155.39,5057
155.8,5080
156.25,5103
156.82,5130
157.3,5150
157.9,5172
158.35,5192
158.95,5222
159.555,5248
159.95,5265
160.45,5285
160.85,5302
161.25,5322
161.75,5343
162.75,5393
163.27,5416
163.72,5436
164.23,5459
164.59,5481
165.16,5508
165.52,5530
165.97,5550
166.42,5572
166.87,5589
167.255,5603
167.68,5625
168.07,5643
168.43,5663
168.79,5680
169.24,5702
169.68,5721
170.1,5744
170.34,5754
170.76,5773
171.4,5794
171.87,5815
172.44,5837
173.215,5867
173.61,5887
174.15,5909
174.51,5929
174.98,5952
175.54,5983
176.075,6002
176.48,6024
176.811,6042
177.17,6061
177.56,6079
177.92,6099
178.4,6120
178.67,6138
178.975,6155
179.3,6172
179.66,6194
179.93,6214
180.23,6237
180.725,6267
181.11,6287
181.48,6309
181.95,6329
182.37,6353
182.94,6381
183.3,6402
183.66,6422
184.14,6443
184.43,6458
184.76,6480
185.13,6497
185.47,6517
185.76,6533
186.12,6552
186.55,6573
186.87,6595
187.37,6615
188.06,6646
188.49,6665
188.96,6688
189.31,6708
189.67,6738
189.86,6760
190.2,6780
190.47,6802
190.82,6819
191.15,6835
191.61,6857
191.82,6876
192.695,6930
193.045,6950
193.55,6973
194.345,7021
194.61,7044
194.945,7065
195.2,7088
195.495,7108
195.795,7137
195.98,7157
196.25,7180
196.43,7201
196.76,7224
197.04,7254
197.26,7271
197.66,7306
197.87,7332
198.1,7349
198.407,7375
199.027,7421
199.387,7444
200.107,7491
200.407,7512
200.777,7536
201.087,7556
201.417,7582
201.907,7607
204.76,7755
205.13,7779
205.5,7799
205.85,7822
206.26,7846
206.68,7870
207.05,7892
207.44,7913
207.94,7936
208.42,7962
208.86,7985
209.13,8006
209.51,8027
210.38,8080
210.64,8102
211.01,8119
211.34,8137
211.72,8156
212.12,8176
212.57,8198
213.2,8222
213.6,8248
214.11,8270
214.5,8291
214.95,8313
215.84,8363
216.25,8385
216.69,8405
217.06,8426
217.36,8443
217.58,8460
217.81,8480
218.02,8499
218.34,8519
218.59,8536
218.94,8557
219.2,8576
219.5,8599
220.195,8649
220.495,8671
220.845,8691
221.17,8715
221.945,8764
222.25,8785
222.595,8806
223.08,8841
223.4,8859
223.75,8880
224.07,8898
224.38,8915
224.69,8935
224.94,8956
225.29,8976
226.441,9035
226.741,9058
227.141,9079
227.58,9102
227.92,9127
228.29,9150
228.66,9171
229.04,9194
229.66,9242
230.04,9266
230.28,9284
230.92,9321
231.3,9345
231.67,9362
232.12,9394
232.45,9412
232.85,9437
233.13,9459
233.53,9482
233.896,9507
234.196,9527
234.566,9553
234.856,9573
235.336,9599
236,9641
236.656,9676
236.856,9692
237.246,9719
237.656,9751
238.051,9769
238.451,9792
238.736,9812
239.276,9839
239.516,9863
239.846,9884
240.146,9906
240.476,9927
240.776,9956
240.986,9977
241.286,9999
242.268,10073
242.458,10092
242.788,10169
242.938,10190
243.198,10208
243.538,10243
243.838,10263
244.018,10284
244.218,10304
244.388,10356
244.628,10377
244.8,10398
244.9,10417
245.09,10430
245.31,10451
245.48,10470
245.65,10491
245.86,10509
246.08,10529
246.26,10547
247.281,10621
247.55,10642
247.792,10663
248.69,10736
248.902,10756
249.201,10778
249.89,10828
250.09,10851
250.31,10870
250.57,10892
250.74,10907
250.9,10927
251.16,10946
251.39,10966
252.15,11021
252.34,11041
252.58,11063
253.2,11113
253.47,11136
253.62,11156
253.8,11178
254.3,11228
254.45,11249
254.63,11270
254.9,11308
255.02,11324
255.22,11345
255.39,11362
255.5,11381
255.7,11400
255.88,11421
256.13,11442
256.47,11472
256.76,11492
257.03,11514
257.21,11535
257.53,11559
257.82,11585
258.03,11606
258.21,11629
258.4,11648
258.71,11681
259.11,11723
259.57,11760
260.04,11799
260.32,11818
260.62,11846
260.91,11871
261.15,11891
261.39,11914
262.03,11962
262.66,12006
263,12028
263.33,12051
263.76,12079
264.38,12121
265.02,12172
265.7,12205
266.08,12227
266.59,12249
266.94,12272
267.23,12292
267.67,12319
267.92,12340
268.23,12364
268.52,12385
268.85,12408
269.17,12434
269.43,12454
269.69,12478
271.72,12606
272.08,12626
272.44,12649
272.78,12669
273.34,12698
273.71,12719
274.07,12741
274.52,12763
275.38,12813
275.71,12833
276.11,12856
276.41,12876
276.88,12908
277.64,12928
278.07,12948
278.41,12970
279.18,13018
279.61,13040
279.94,13057
280.73,13092
281.09,13112
281.35,13133
281.57,13154
281.78,13174
282.14,13207
282.4,13226
282.8,13248
283.1,13267
283.95,13322
284.15,13341
284.8,13379
285.11,13398
285.38,13418
287.17,13492
287.54,13512
287.98,13534
289.03,13584
289.472,13606
289.922,13626
290.352,13648
290.822,13667
291.456,13691
291.886,13713
292.456,13733
292.966,13752
293.916,13787
294.515,13809
296.346,13902
296.765,13926
297.215,13949
297.69,13974
298.07,13996
298.44,14017
299.67,14090
300,14108
300.5,14132
300.79,14147
301.42,14170
302,14215
302.37,14239
302.63,14259
303.43,14304
303.87,14329
304.34,14350
304.9,14374
