Depth comp r [rmcd],Grey
140.38,347.692628
140.39,329.696719
140.4,316.7849
140.41,332.851093
140.42,327.738504
140.43,297.622651
140.44,295.856159
140.45,320.403397
140.46,351.064421
140.47,365.814038
140.48,367.242281
140.49,391.541494
140.5,400.570242
140.51,436.762457
140.52,433.557466
140.53,420.563744
140.54,417.895729
140.55,425.716198
140.56,421.131125
140.57,421.70731
140.58,415.36062
140.59,400.657626
140.6,388.776611
140.61,394.620147
140.62,387.290095
140.63,385.356335
140.64,376.281611
140.65,365.076784
140.66,356.706214
140.67,354.930345
140.68,354.712947
140.69,336.444938
140.7,351.066482
140.71,345.830263
140.72,347.497766
140.73,352.333614
140.74,353.046906
140.75,358.645393
140.76,366.369668
140.77,380.422793
140.78,381.358133
140.79,384.37093
140.8,362.465022
140.81,373.150998
140.82,372.544475
140.83,383.597668
140.84,377.534137
140.85,369.565966
140.86,375.209357
140.87,373.281376
140.88,368.011844
140.89,368.312303
140.9,370.457723
140.91,380.255543
140.92,378.132339
140.93,379.730918
140.94,375.540749
140.95,383.347003
140.96,376.920983
140.97,382.274866
140.98,380.873547
140.99,373.475297
141,381.341617
141.01,384.245554
141.02,372.63347
141.03,374.526643
141.04,371.238909
141.05,361.484741
141.06,358.650803
141.07,368.727134
141.08,361.044973
141.09,363.999634
141.1,376.766834
141.11,386.796154
141.12,396.735155
141.13,405.375063
141.14,418.407882
141.15,412.498151
141.16,423.489619
141.17,418.202629
141.18,416.793551
141.19,417.651628
141.2,411.450982
141.21,399.125941
141.22,388.488395
141.23,402.424954
141.24,394.419772
141.25,389.958014
141.26,376.913875
141.27,386.683218
141.28,382.377867
141.29,377.459952
141.3,373.742018
141.31,373.126252
141.32,375.76232
141.33,359.681085
141.34,374.947713
141.35,371.909334
141.36,367.556131
141.37,374.411764
141.38,368.672491
141.39,361.618919
141.4,358.322809
141.41,365.655982
141.42,378.821294
141.43,392.202519
141.44,381.780379
141.45,395.260951
141.46,403.458909
141.47,410.801763
141.48,418.298131
141.49,425.347589
141.5,419.43264
141.51,405.478674
141.52,407.196625
141.53,399.62519
141.54,415.93543
141.55,431.589044
141.56,430.295294
141.57,442.666954
141.58,465.22097
141.59,450.426411
141.6,457.544709
141.61,481.823861
141.62,476.999131
141.63,474.555077
141.64,496.976251
141.65,515.5085
141.66,507.588775
141.67,500.735612
141.68,517.024843
141.69,517.60875
141.7,521.067734
141.71,514.255699
141.72,487.790231
141.73,462.862115
141.74,457.073452
141.75,447.185293
141.76,426.759388
141.77,426.967885
141.78,393.889678
141.79,399.94117
141.8,382.897106
141.81,371.781873
141.82,366.673047
141.83,362.192755
141.84,359.345329
141.85,356.051025
141.86,350.224824
141.87,341.497729
141.88,357.091568
141.89,330.193364
141.9,316.72826
141.91,306.569837
141.92,306.771434
141.93,310.673769
141.94,316.228376
141.95,316.65409
141.96,318.394421
141.97,316.669672
141.98,307.0875
141.99,308.830187
142,314.021889
142.01,317.356783
142.02,321.828085
142.03,332.695211
142.04,313.376832
142.05,336.827886
142.06,337.534295
142.07,331.596067
142.08,327.39311
142.09,333.529253
142.1,342.380519
142.11,338.200787
142.12,345.216445
142.13,356.523656
142.14,358.415756
142.15,360.075751
142.16,376.176282
142.17,391.02048
142.18,380.977397
142.19,389.972137
142.2,399.866049
142.21,399.633888
142.22,418.035327
142.23,431.751741
142.24,422.062088
142.25,426.87206
142.26,427.633601
142.27,408.67513
142.28,426.051419
142.29,413.432147
142.3,405.598113
142.31,395.28839
142.32,378.300149
142.33,392.481798
142.34,392.249475
142.35,399.060586
142.36,401.411773
142.37,407.419972
142.38,396.54633
142.39,409.847673
142.4,428.897881
142.41,436.614067
142.42,424.835859
142.43,403.032657
142.44,416.171806
142.45,418.462381
142.46,402.959379
142.47,410.676019
142.48,393.768288
142.49,394.811097
142.5,389.528572
142.51,387.843102
142.52,392.586702
142.53,384.793888
142.54,388.118593
142.55,385.509249
142.56,374.39588
142.57,359.822786
142.58,362.000825
142.59,350.073053
142.6,351.934269
142.61,357.542643
142.62,357.114036
