dCiso,Time,Age
-2.09,998.63,Neoprotero
-1.16,988.7,Neoprotero
-0.5,985.95,Neoprotero
0.1,985,Neoprotero
1.42,983.99,Neoprotero
-1.82,981.59,Neoprotero
1.95,979.46,Neoprotero
-2.35,978.06,Neoprotero
1.03,977.76,Neoprotero
1.16,975.95,Neoprotero
1.75,974.11,Neoprotero
2.02,973.19,Neoprotero
2.09,973.18,Neoprotero
2.81,971.33,Neoprotero
3.08,971.31,Neoprotero
0.23,969.77,Neoprotero
0.43,969.75,Neoprotero
0.3,968.87,Neoprotero
0.63,968.84,Neoprotero
1.49,967.87,Neoprotero
2.55,967.77,Neoprotero
2.88,967.74,Neoprotero
1.82,966.94,Neoprotero
3.41,966.8,Neoprotero
2.42,965.99,Neoprotero
1.95,965.14,Neoprotero
2.55,965.09,Neoprotero
2.81,965.06,Neoprotero
2.88,965.06,Neoprotero
2.28,964.21,Neoprotero
2.81,964.17,Neoprotero
3.61,964.1,Neoprotero
2.09,963.34,Neoprotero
2.95,963.26,Neoprotero
2.35,961.52,Neoprotero
2.88,961.47,Neoprotero
1.23,960.73,Neoprotero
1.69,960.69,Neoprotero
0.23,959.92,Neoprotero
0.7,959.88,Neoprotero
2.02,959.76,Neoprotero
0.23,954.55,Neoprotero
0.5,952.73,Neoprotero
0.5,951.84,Neoprotero
1.03,951.79,Neoprotero
1.36,951.76,Neoprotero
0.3,950.96,Neoprotero
1.03,950.9,Neoprotero
1.49,950.86,Neoprotero
0.7,950.03,Neoprotero
0.89,950.01,Neoprotero
-0.63,949.25,Neoprotero
-0.3,949.22,Neoprotero
0.17,949.18,Neoprotero
0.3,949.17,Neoprotero
0.5,948.26,Neoprotero
0.23,947.39,Neoprotero
0.5,947.36,Neoprotero
1.42,946.38,Neoprotero
-0.56,945.67,Neoprotero
1.16,945.51,Neoprotero
0.89,943.75,Neoprotero
1.82,943.66,Neoprotero
0.89,942.85,Neoprotero
1.09,941.94,Neoprotero
2.28,941.83,Neoprotero
0.03,941.14,Neoprotero
-0.63,940.3,Neoprotero
-0.36,939.38,Neoprotero
-2.22,938.65,Neoprotero
-1.69,938.61,Neoprotero
-1.56,938.59,Neoprotero
-1.36,938.58,Neoprotero
-1.95,936.84,Neoprotero
-2.09,935.95,Neoprotero
