Depth,Magentic,Reflectance,d13c
-3.62,,,1.573
-3.5,,,1.693
-3.38,,,1.383
-3.26,,,1.407
-3.17,,,0.885
-3.07,,,1.965
-2.97,,,1.51
-2.88,,,1.228
-2.77,,,1.58
-2.67,,,1.881
-2.55,,,1.423
-2.44,,,1.731
-2.33,,,1.214
-2.19,,,1.093
-2.03,,,1.258
-1.9,,,0.806
-1.79,,,1.65
-1.64,,,1.455
-1.4,,,0.482
-1.2,,,0.974
-1.03,,,1.303
-0.75,,,1.228
-0.51,,,1.049
-0.36,,,1.03
-0.25,,,0.621
-0.08,,,0.523
0.05,8.3,54.2,
0.15,8.9,54.3,1.188
0.24,9.5,52.7,
0.34,5.2,57.4,
0.45,9,48.2,1.216
0.56,13.6,48.1,
0.71,11.2,46.6,
0.83,9.2,46.5,1.003
0.92,7.5,49.6,
1.01,12.4,46.3,
1.11,13.3,50.6,0.777
1.24,13.9,47.2,
1.36,13.3,48.6,
1.49,14.9,40.5,
1.62,13.5,44,1.014
1.75,11,45.9,
1.89,7.6,48.4,
1.98,12.9,51.1,0.932
2.05,16.5,46.6,
2.19,12.2,50.2,
2.36,8.2,40.7,
2.49,18.1,50.6,0.741
2.61,15.2,47.3,
2.81,8.7,46,
2.92,15.4,41.5,
3.02,15.9,43.2,1.196
3.13,12.5,43.1,
3.24,17.5,47.2,
3.34,15.2,49.2,
3.45,12.3,46.5,
3.55,16.2,44.5,0.758
3.66,14.5,46.5,
3.77,11.4,41.5,
3.87,11.8,45.6,
3.98,12.6,42.2,
4.09,13.2,43,0.736
4.19,13,44,
4.3,16.3,43.1,
4.4,17.3,45.1,
4.51,15.7,42.3,0.773
4.62,13.7,43.9,
4.72,11.6,40.7,
4.83,15.7,44.4,
4.94,9.9,45.4,
5.04,10.1,44.7,1.073
5.15,16.2,52.4,
5.25,16.2,46.5,
5.36,11.6,45.4,
5.47,14.1,49.9,
5.57,13.9,44.8,0.862
5.68,13.6,46,
5.79,8.6,47.1,-1.663
5.89,17.5,48.7,
6.01,13.8,46.8,1.393
6.12,12.8,50.5,
6.24,12.5,45.3,
6.35,16.2,45.1,
6.46,17.8,40.3,
6.57,16.9,45.2,0.809
6.68,18.5,43.3,
6.79,17.1,46.7,
6.9,15.6,46.5,
7.01,18.2,46.7,
7.1,19.8,47.6,1.373
7.18,15.4,48.2,
7.28,13.2,46.9,
7.41,12.3,41.4,
7.54,11.9,49.9,0.389
7.66,12.6,42.1,
7.79,14.2,46.6,
7.9,11.9,50.6,1.485
8.01,11,43.9,
8.13,16.7,47.8,
8.26,16.9,45.2,
8.39,14.4,47.8,0.738
8.52,14.1,47.9,
8.65,14.2,51.4,
8.8,11.1,46.6,1.253
8.9,18,51.4,
9.02,12,47.3,
9.17,11.7,45.3,1.039
9.32,14.1,44.3,
9.47,10.8,45.8,
9.61,14.8,48,1.338
9.75,12,46.1,
9.9,14.5,46.6,1.348
10.05,16.8,42.7,
10.2,11.4,43.3,
10.29,10.6,50.1,
10.34,8.2,45.4,0.204
10.39,11.8,46,
10.43,8.3,41.2,
10.47,11,47.7,0.63
10.5,10.7,47.7,
10.54,12.3,44.1,
10.59,12.4,47.8,1.658
10.64,13.2,43.8,
10.68,12.1,41.1,
10.72,10,43.9,1.543
10.76,10,45.6,
10.83,10.3,51.6,1.498
10.93,13.3,47.5,
11.03,10.7,51.2,1.572
11.13,9.8,45.7,
11.23,10.8,43.8,
11.32,10.4,48.9,1.474
11.39,13.4,47.4,
11.49,12.8,49.7,
11.6,13.5,48.9,
11.71,11.8,47.5,1.355
11.82,13,51.3,
11.93,12.7,47.5,
12.01,7.6,,1.557
12.06,7.7,45.3,
12.14,11.7,49.9,
12.26,11.8,47.5,
12.38,12.5,49.2,1.403
12.5,9.4,47.6,
12.62,8,52,
12.71,11.6,50.2,1.547
12.77,8.1,49.2,
12.87,9,51.2,
13.02,10,48.6,1.415
13.16,10.2,45.5,
13.31,12.5,50.8,
13.44,8.2,49.3,1.711
13.55,12.1,49.8,
13.66,10.2,47.7,
13.75,9.1,49,1.592
13.84,11.4,49.9,
13.93,10.6,47.2,
14.03,9.6,47.1,1.362
14.12,8.5,48.9,
14.21,10.7,52.9,
14.31,10.5,46.8,
14.41,8.7,47.7,1.379
14.5,14.4,48.4,
14.6,10.4,47.1,
14.7,10.8,45.2,1.389
14.79,8.2,46.5,
14.88,11.8,48,
14.98,12.1,48.4,
15.08,12.2,49.7,1.443
15.18,13.9,47.6,
15.28,9.9,48.3,
15.38,7.3,47,1.494
15.48,7.5,42.9,
15.58,7.1,50.5,
15.68,9,46.6,1.166
15.78,10.2,53.8,
15.87,8.9,45.3,
15.95,6.8,45,0.992
16.04,10.3,52.5,
16.12,9.3,47.9,
16.2,8.4,53.7,1.349
16.29,10.3,53.7,
16.37,11.9,50.5,
16.47,8.1,46.6,0.879
16.58,9.8,52.9,
16.69,9.4,51.5,
16.8,11.4,50.3,
16.91,13.6,46.4,1.325
17.02,10.1,49.6,
17.13,11.1,53.9,
17.24,9.4,51.8,
17.34,11.8,50.9,
17.45,11.6,51.3,1.102
17.56,10.3,49.6,
17.66,6.8,54.4,
17.77,9.2,51.3,
17.87,12.1,49,0.794
17.98,10.8,49.7,
18.09,11.4,46.1,
18.21,7.1,49.2,
18.34,10,54.4,0.878
18.47,9,49,
18.6,8.2,48.9,
18.73,11.4,44.4,
18.86,9.6,44.8,0.778
18.99,8.3,46.3,
19.12,12.5,51.4,
19.23,10.6,50.8,
19.31,10.4,54.7,
19.39,7.5,48.5,0.955
19.47,7.9,52.9,
19.55,9.4,50.4,
19.7,11.9,49.3,
19.81,12.3,46.4,1.229
19.92,13,46.8,
20.03,11,47.7,
20.14,13.5,46.4,
20.25,11.2,53.4,1.159
20.35,8,44.2,
20.46,8.6,46.4,
20.57,13.5,48.5,
20.67,13.3,44.4,1.025
20.78,13.2,45.7,
20.88,13.9,50.8,
20.99,14.3,48.1,
21.09,7,54,
21.2,14.1,51,0.83
21.31,12.7,49,
21.41,11.9,46.9,
21.52,12.6,47,
21.63,13.9,49.7,
21.74,15.6,47.3,1.313
21.84,17.4,44.1,
21.95,12.7,41.6,
22.06,12.9,47.9,
22.17,14.5,48.9,
22.29,16.4,50.4,0.647
22.4,12.8,48.4,
22.52,14.8,49.4,
22.64,12.1,45.4,
22.75,11.8,44.1,0.748
22.87,10.8,51.5,
22.99,11.1,52.6,
23.1,14.1,48.4,
23.2,12,48.7,
23.28,11.3,47.5,1.28
23.37,14.6,51.2,
23.45,16.4,43.5,
23.53,16.5,52.6,
23.61,8.9,40.9,0.991
23.7,16,42.8,
23.78,13.3,45.6,
23.86,11.7,49.3,0.997
23.95,9.9,48,
24.04,12.5,51.1,
24.13,15,46.2,
24.22,11.8,44.5,
24.3,12.7,49.4,1.09
24.39,14.3,48.1,
24.48,13,46.8,
24.57,15.3,46,
24.66,10.6,51.2,
24.77,12.1,49.2,1.031
24.88,10.6,51.5,
24.99,12.3,49.7,
25.09,10.8,46.7,
25.2,9,47.6,1.384
25.31,11.5,48.9,
25.42,12.2,49.5,
25.5,10.5,47.3,
25.56,7.2,52.2,1.267
25.63,8,52.7,
25.69,8.3,42.1,
25.8,12.7,49.3,
25.95,13.3,47,1.516
26.1,13.4,46.2,
26.25,14.2,48.5,
26.36,13.5,52.7,
26.44,11.6,47.3,1.571
26.52,9.4,51.9,
26.64,11.4,49.8,
26.8,12.4,46.4,1.382
26.95,19.7,50.5,
27.11,8.7,57.2,
27.32,6.6,50.4,1.732
27.41,11,54.8,
27.52,15.1,50.8,
27.65,16.4,52.3,1.493
27.77,12.3,46.6,
27.9,11.1,46.9,
28.01,9.7,46.6,1.447
28.1,13.6,48.8,
28.21,16.1,46.5,
28.32,13.4,48.1,1.562
28.43,12.1,49.2,
28.52,17,50,
28.6,8.3,47.7,1.645
28.67,12.2,49.7,
28.8,12.9,47.9,
28.97,14.8,49,1.354
29.17,17.7,45.3,
29.3,11.6,47.5,1.772
29.4,12.7,46.3,
29.51,14.4,45.1,
29.63,9.8,46.3,1.506
29.75,10.5,43.6,
29.87,14.3,46.9,
30.01,13.7,44.7,1.706
30.16,10.4,48,
30.3,15,46.4,
30.43,14.4,49.5,1.534
30.56,16,42.9,
30.69,10.7,46.5,
30.81,11.4,48.9,1.71
30.92,13.5,46.2,
31.05,11.9,49.2,
31.2,12,48.3,1.742
31.35,10.4,50.1,
31.5,10.6,47.3,
31.64,9.8,50,1.659
31.75,10,52.4,
31.85,12,42.7,
31.95,10.1,47.8,1.752
32.04,15.1,49.3,
