Sample,Position (m),U    (ppm),Mo   (ppm),V   (ppm),Cr   (ppm),Co    (ppm),Cu    (ppm),Zn     (ppm),Ni    (ppm),Pb     (ppm),Uau (ppm),Moau (ppm),Vau (ppm),Crau (ppm),Coau (ppm),Crau (ppm),Znau (ppm),Niau (ppm),Pbau (ppm),Uef    (ppm),Moef (ppm),Vef (ppm),Cref (ppm),Coef (ppm),Cuef (ppm),Znef (ppm),Nief (ppm),Pbef (ppm),Fe       (%),Mo/Th ,Mo/Fe,U/TOCR,V/    (V+Ni),TOCR    (%),TOC    (%),TS    (%),Pyrite    (%)
F1,-7.2,2.5,1.2,29.7,32.2,1.6,4.6,13.2,10.2,2.1,2.3,1.1,22.9,25.7,0.4,2.7,8.5,6.9,0.9,13.1,15.7,4.3,5,1.7,2.4,2.8,3.1,1.8,0.48,1.2,2.5,2.4,0.74,1,0.08,0.13,0.11
F1A,-7.1,5.8,4.7,153.8,156.3,6.7,23.4,77.6,51.4,15.9,4.8,4.3,115,119.6,0,12.2,50.9,32.7,9.1,5.4,10.8,4,4.3,1.2,2.1,2.9,2.7,2.3,2.83,1.4,1.7,7.5,0.75,0.8,0.6,0.03,0
F2,-5.95,1.5,0.6,21.6,20.9,0.3,2.9,7.8,5.8,1.2,1.4,0.5,17.3,16.8,0,1.6,4.8,3.6,0.5,12.6,11.7,4.9,5,0.5,2.3,2.6,2.7,1.6,0.32,1.4,1.9,1,0.79,1.5,0.06,0.07,0.08
F2A,-5.9,3.4,2.8,113.5,115.9,4.9,16.1,49.6,36.5,9.4,2.7,2.6,88.6,92.3,0.4,8.9,32.4,24.4,5,4.9,10.1,4.6,4.9,1.4,2.2,2.9,3,2.2,2.06,1.1,1.4,5.1,0.76,0.7,0.46,0.05,0
F3,-4.55,2,0.8,21.6,18.8,0.5,2.1,7.4,6.1,1.3,1.8,0.8,17.2,14.6,0,0.8,4.4,4,0.5,16.1,16.3,4.9,4.5,0.9,1.7,2.4,2.9,1.7,0.27,3.9,3,1.6,0.78,1.2,0.07,0.18,0.17
F3A,-4.4,5.1,5.5,220.9,167.8,6.8,30.5,88.5,59.6,18.2,3.7,5,172.4,121.7,0,16.5,55,36.1,9.7,3.7,10,4.5,3.6,1,2.2,2.6,2.5,2.1,3.11,1.5,1.8,5.5,0.79,0.9,0.89,0.01,0
F4,-3.7,5.1,0.7,27.8,26.8,0.6,3.9,9.1,7.9,3.3,4.9,0.7,21.7,21,0,2.1,4.8,5,2.2,29.7,10.7,4.6,4.6,0.7,2.2,2.1,2.7,3,0.43,1.1,1.7,4.4,0.78,1.2,0.09,0.26,0.23
F4A,-3.6,5.8,3.6,168.9,204.7,9.2,25.2,91,58.4,19.2,4.2,2.9,114,152.6,0,9.3,53.1,31.8,9.6,3.8,5.7,3.1,3.9,1.2,1.6,2.4,2.2,2,3.31,0.8,1.1,9.2,0.74,0.6,0.56,0.03,0
F5,-2.45,4.2,1.4,60.5,80.8,6.4,9.7,30.3,23.5,7.7,3.8,1.3,45.7,66.7,3.7,5.4,20,16.4,5.1,10.2,8.5,4.1,5.7,3,2.3,3,3.3,3,1.31,1,1.1,4.9,0.72,0.9,0.14,0.41,0.4
F5A,-2.35,4.5,2.3,153.8,149.6,8.6,18.8,80,45.9,14.1,3.5,1.9,117.9,115.5,2.2,8.4,55.2,28.5,7.8,4.5,5.7,4.3,4.4,1.7,1.8,3.2,2.6,2.2,2.53,0.8,0.9,5.8,0.77,0.8,0.61,1.72,2.39
F6,-1.63,3.7,0.9,47.7,53.8,4.4,6.6,19.2,16.5,4.8,3.3,0.7,35.4,42,2.2,3,10.7,10.6,2.7,10.6,6.1,3.9,4.6,2.5,1.9,2.3,2.8,2.2,0.88,0.5,1,3.6,0.74,1,0.15,0.36,0.67
F6A,-1.53,3.1,3,95.1,140.9,5.9,17.1,71.5,44.5,15,2,2.5,56.2,104,0,5.9,44.6,25.7,8.2,2.9,6.7,2.4,3.8,1.1,1.5,2.7,2.4,2.2,2.63,0.8,1.1,5.6,0.68,0.6,0.44,0.66,1.04
F7,-0.88,3.6,1,33.8,63.4,4.4,6.5,23.1,16.1,4.5,3.3,0.8,21.5,51.7,2.2,2.9,14.6,10.1,2.4,10.6,6.8,2.7,5.4,2.5,1.8,2.7,2.7,2.1,0.85,0.6,1.1,4.9,0.68,0.7,0.08,0.35,0.49
F7A,-0.75,5.1,3.4,123.6,205.4,11.7,21.7,80.1,63.1,17.1,3.8,2.8,75,159.2,3,7.7,46.5,39.5,8.5,3.8,6.1,2.5,4.5,1.7,1.5,2.4,2.7,2,3,0.9,1.1,8.1,0.66,0.6,0.54,2.3,2.99
F8,-0.4,5.4,1.2,31.9,53.7,2.8,5.7,14.1,13.8,3.9,5.2,1.1,22.7,44.9,1.2,3,7.7,9.3,2.3,21.1,11.9,3.5,6.1,2.2,2.1,2.2,3.1,2.4,0.7,1.9,1.8,4.8,0.7,1.1,0.14,0.49,0.69
F8.2,-0.4,9,3.6,145.9,212.3,10.9,24.9,105.5,75.2,18.6,7.5,3,94.6,163.6,1.7,10.1,70.1,50.4,9.6,6.3,6.1,2.8,4.4,1.5,1.7,3,3,2.1,3.37,0.9,1.1,10.4,0.66,0.9,0.71,2.81,n.d.
F8.3,-0.38,11.6,6.1,155.7,250.6,13.5,28.3,117.9,90,19.9,9.9,5.4,95.3,193.3,2.8,10.9,76.2,60.7,9.4,6.9,8.9,2.6,4.4,1.6,1.6,2.8,3.1,1.9,3.76,1.5,1.6,12.8,0.63,0.9,0.74,2.52,n.d.
F8.4,-0.35,11.7,5.2,137.6,221.1,15.9,29.1,106.9,98.4,18.9,10.2,4.6,83.6,169.9,6.2,13.5,69.6,72.2,9.4,7.8,8.5,2.5,4.3,2.1,1.9,2.9,3.8,2,3.81,1.4,1.4,11.8,0.58,1,0.81,3.09,n.d.
F8A,-0.3,12.7,5.5,171.9,260.5,18.6,31.8,125.3,114.8,21.6,10.9,4.8,105.8,197.8,6.8,12.8,79.7,82.7,10,6.9,7.4,2.6,4.2,2,1.7,2.7,3.6,1.9,4.01,1.3,1.4,13.1,0.6,1,0.85,3.36,4.85
F8.5,-0.28,11.9,7.7,212.4,265.7,15.3,37.5,128.3,97.3,20.6,10.1,7,151.1,207.5,4.4,19.8,85.9,67.6,9.9,6.9,11.1,3.5,4.6,1.8,2.1,3,3.3,1.9,4.08,1.9,1.9,10,0.69,1.2,1.04,3.6,n.d.
F8.5,-0.28,11.9,7.7,212.4,265.7,15.3,37.5,128.3,97.3,20.6,10.1,7,151.1,207.5,4.4,19.8,85.9,67.6,9.9,6.9,11.1,3.5,4.6,1.8,2.1,3,3.3,1.9,4.08,1.9,1.9,10,0.69,1.2,1.04,3.6,n.d.
F8.6,-0.24,9.6,5.3,173,222.7,12.8,27.8,94.7,75.7,17.6,8.2,4.8,123.9,176.1,4,13.7,60.8,51.8,9,7,9.5,3.5,4.8,1.8,2,2.8,3.2,2,3.5,1.7,1.5,8.9,0.7,1.1,0.88,2.79,n.d.
F9A,-0.2,10.5,6.4,116,212,12.7,26.4,61.3,61.6,16.7,9.3,5.9,73.1,171.3,5.1,14,31.7,40.8,9.2,8.8,13.1,2.7,5.2,2.1,2.1,2.1,3,2.2,3.36,2.2,1.9,9.7,0.65,1.1,0.88,2.72,3.66
F8.7v,-0.15,6.1,2,52.5,63.7,4.6,7,25.2,18.5,4.8,5.8,1.9,41.3,53.1,2.6,3.7,17.5,13.1,2.8,19.7,15.9,4.7,6,2.9,2.2,3.3,3.4,2.4,1.05,2.7,1.9,5.7,0.74,1.1,0.86,2.6,n.d.
F8.7b,-0.15,8.6,5.6,140.2,187.7,11.2,24,78.8,57.8,15.9,7.4,5.1,99.5,149.1,4,12.3,50.7,38,8.7,7.5,12.1,3.4,4.9,2,2,2.8,2.9,2.2,3.21,2,1.7,8,0.71,1.1,0.86,2.6,n.d.
F8.8,-0.12,10.6,6.7,100.2,205.4,12,25.2,54.9,53.7,16.5,9.5,6.2,60.2,167.5,4.8,13.6,27.2,34.3,9.5,9.5,14.7,2.5,5.4,2.1,2.2,2,2.8,2.4,3.31,2.3,2,8,0.65,1.3,1.08,2.65,n.d.
