Sample,Lithology,Position ,18Ocarb,13Corg,13Ccarb,34Spy ,CaCO3 ,TOC res,TOC,TS res,TS wr,Mn/Sr
F1,Limestone,-7.2,-5.36,-30.51,-0.65,-11.4,85.41,1.04,0.08,1.71,0.13,0.67
F1A,Shale,-7.1,,,,,4.55,0.78,0.6,0.04,0.03,
E1,Shale,-6.55,-8.12,-31.05,-0.04,,4.76,0.6,0.53,0.74,0.66,
E2,Shale,-6.1,,-30.85,,,4.65,0.4,0.35,0.44,0.39,
F2,Limestone,-5.95,-4.89,-30.35,0.28,-2.8,92.47,1.47,0.06,1.75,0.07,0.93
F2,Limestone,-5.95,-4.89,-30.35,0.28,-2.6,,1.47,0.06,1.75,0.07,
F2A,Shale,-5.9,,,,,24.98,0.67,0.46,0.07,0.05,
E3,Shale,-5.78,,-30.65,,,0.15,0.7,0.64,0.01,0.01,
E4,Shale,-5.36,,-30.65,,,0.03,0.8,0.74,0.01,0.01,
E5,Shale,-4.95,-8.23,-30.85,0.29,,7.22,0.7,0.59,1.24,1.04,
E5,Shale,-4.95,-8.17,-30.85,0.28,,7.22,0.7,0.59,1.24,1.04,
bioA,Marl,-4.6,-5.2,-30.59,0.3,,57.6,0.59,,0.96,,
F3,Limestone,-4.55,-4.99,-30.75,-0.32,-11,89.82,1.22,0.07,3.22,0.18,1.15
E6,Shale,-4.48,-7.93,-30.25,0.06,,3.76,0.8,0.72,1.77,1.6,
F3A,Shale,-4.4,,,,,3.17,0.92,0.89,0.01,0.01,
E7,Shale,-3.95,-7.89,-30.45,,,2.53,0.6,0.53,0.01,0.01,
F4,Limestone,-3.7,-4.95,-31.1,-0.14,-11.5,,1.16,0.09,3.38,0.26,
F4,Limestone,-3.7,-4.98,-31.1,-0.15,-11.5,87.75,1.16,0.09,3.38,0.26,1.06
F4A,Shale,-3.6,,,,,5.75,0.63,0.56,0.03,0.03,
E8,Shale,-3.54,-7.58,-30.25,0.96,,2.87,0.7,0.62,0.01,0.01,
E9,Shale,-2.77,-7.68,-31.05,0.76,,17.11,0.5,0.36,0.99,0.71,
E9,Shale,-2.77,-7.68,-30.85,0.76,,17.11,0.5,0.36,0.99,0.71,
bioB,Limestone,-2.55,-5.2,-30.76,1.2,,78.35,0.72,,0.71,,
X19,Limestone,-2.55,-5.16,,-0.08,,,,,,,
X19,Limestone,-2.55,-4.98,,-0.15,,,,,,,
E10,Shale,-2.5,-7.94,-30.95,0.37,,7.48,0.7,0.59,2.25,1.9,
F5,Limestone,-2.45,-5.48,-30.53,1.5,-12.8,62.22,0.86,0.14,2.56,0.41,0.71
X18,Limestone,-2.45,-5.09,,0.76,,,,,,,
F5A,Shale,-2.35,,,,,24.41,0.77,0.61,2.16,1.72,
X17,Limestone,-2.15,-3.92,,0.38,,,,,,,
E11,Shale,-2.1,-8.26,-30.65,0.52,,10.37,0.7,0.57,2.4,1.94,
F6,Limestone,-1.63,-4.43,-31.05,1.68,-14.1,78.31,1.03,0.15,2.45,0.36,0.81
E12,Shale,-1.63,-8.1,-30.85,-0.56,,9.52,0.7,0.58,2.66,2.21,
X16,Limestone,-1.62,-4.71,,2.31,,,,,,,
X16,Limestone,-1.62,-4.86,,2.28,,,,,,,
F6A,Shale,-1.53,,,,,18.8,0.55,0.44,0.82,0.66,
E13,Marl,-1.2,-6.74,-30.95,1.54,,37.76,0.5,0.27,2.45,1.32,
E13,Marl,-1.2,-6.71,-30.95,1.52,,37.76,0.5,0.27,2.45,1.32,
X14,Limestone,-1.13,-3.99,,0.96,,,,,,,
F7,Limestone,-0.88,-4.42,-30.87,0.61,-12.9,75.39,0.73,0.08,3.18,0.35,1.29
F7,Limestone,-0.88,,-30.87,,-12.6,,0.73,0.08,3.18,0.35,
X13,Limestone,-0.88,-4.58,,2.32,,,,,,,
bioC,Limestone,-0.75,-4.2,-30.68,2.7,,83.86,0.87,,0,,
F7A,Shale,-0.75,,,,,14.69,0.63,0.54,2.7,2.3,
E14,Shale,-0.73,-6.93,-30.95,1.44,,22.86,0.6,0.4,2.31,1.56,
X12,Limestone,-0.7,-3.56,,1.9,,,,,,,
X11,Limestone,-0.44,-4.9,,3.05,,,,,,,
F8,Limestone,-0.4,-4.16,-30.58,2.55,-14.1,85.54,1.14,0.14,3.93,0.49,0.88
F8,Limestone,-0.4,-4.16,-30.58,2.55,-13.9,,1.14,0.14,3.93,0.49,
F8.2,Shale,-0.4,,,,,11.36,0.86,0.71,3.43,2.81,
F8.3,Shale,-0.38,,,,,9.57,0.9,0.74,3.07,2.52,
F8.4,Shale,-0.35,,,,,13.1,1,0.81,3.8,3.09,
F8A,Shale,-0.3,,,,,7.93,0.97,0.85,3.81,3.36,
F8.5,Shale,-0.28,,,,,8.13,1.19,1.04,4.13,3.6,
F8.6,Shale,-0.24,,,,,14.85,1.08,0.88,3.43,2.79,
E15,Shale,-0.2,-7.02,,1.07,,12.99,1.09,0.88,3.34,2.72,
E15,Shale,-0.2,-7.02,-30.45,1.07,,12.99,0.8,0.62,4.08,3.18,
F9A,Shale,-0.2,,-30.45,,,20.86,0.8,0.62,4.08,3.18,
F8.7,Shale,-0.15,,,,,20.74,1.07,0.86,3.25,2.6,
F8.8,Shale,-0.12,,,,,22.56,1.33,1.08,3.27,2.65,
X10,Limestone,-0.09,-4.19,,3.12,,,,,,,
F8.9,Shale,-0.08,,,,,9.09,1.58,1.25,3.28,2.59,
F8.9,Shale,-0.08,,,,,9.09,1.58,1.25,3.28,2.59,
F9,Limestone,-0.05,-4.27,-29.33,3.07,-3.3,72.64,2.14,0.23,4.08,0.44,0.88
bioD,Limestone,-0.05,-4.6,-30.05,2.9,,85.7,1.38,,0.53,,
X9,Limestone,-0.02,-5.17,,2.71,,,,,,,
F10,Limestone,0.05,-4.84,-27.01,2.98,-8.1,,2.25,0.19,3.15,0.26,
F10,Limestone,0.05,-4.81,-27.01,2.96,-8.1,83.9,2.25,0.19,3.15,0.26,0.4
X8,Limestone,0.05,-4.95,,3.11,,,,,,,
bioE,Limestone,0.11,-5.1,-26.97,2.6,,87.93,1.69,,0.14,,
bioE,Limestone,0.11,-5.1,-26.97,2.6,,87.93,1.69,,0.14,,
X7,Limestone,0.15,-4.53,,3.98,,,,,,,
F11,Limestone,0.22,-4.81,-26.4,3.97,7.6,85.53,2.76,0.09,2.39,0.08,0.4
E16,Marl,0.22,-6.22,-26.35,3.47,,45.14,1.8,0.87,1.57,0.76,
E16,Marl,0.22,-6.22,-26.25,3.47,,45.14,1.7,0.82,1.57,0.76,
X6,Limestone,0.27,-4.44,,5.32,,,,,,,
F12,Limestone,0.36,-4.75,-25.93,4.89,2.9,83.98,2.62,0.13,2.91,0.14,0.34
F12,Limestone,0.36,-4.75,-25.93,4.89,3,,2.62,0.13,2.91,0.14,
bioF,Limestone,0.4,-4.8,-25.65,6.6,,88.86,1.97,,0.18,,
X5,Limestone,0.45,-4.71,,6.68,,,,,,,
F12A,Limestone,0.46,,,,,67.61,2.31,0.87,1.52,0.57,
X4,Limestone,0.6,-6.2,,6.15,,,,,,,
X4,Limestone,0.6,-6.23,,6.14,,,,,,,
E17,Limestone,0.75,-6.26,-25.05,5.79,,67.91,1.3,0.35,0.19,0.05,
E17,Limestone,0.75,-6.26,-24.95,5.79,,67.91,1.3,0.35,0.19,0.05,
X3,Limestone,0.85,-5.87,,6.15,,,,,,,
X2,Limestone,1.05,-4.61,,5.86,,,,,,,
E18,Marl,1.1,-6.42,-24.95,4.62,,47.7,1.2,0.52,0.04,0.02,
X1,Limestone,1.22,-5.12,,6.92,,,,,,,
X1,Limestone,1.22,-5.18,,6.9,,,,,,,
