Sample ID,Position,sample,Interval Lithology,d13C,d44/40Ca,2sd,87Sr/86Sr,2sd,Sr,Mg,Sr/Ca,Mg/Ca
A,0.39,micritic mudstone ,tuffitic calcareous marls (TCM) with limestone lenses ,-0.26,0.31,0.03,,,341,2462,0.72,0.019
B,0.69,micritic mudstone,tuffitic calcareous marls (TCM) with limestone lenses,0.93,0.28,0.04,,,631,2131,1.03,0.013
C,1.09,micritic mudstone,tuffitic calcareous marls (TCM) with limestone lenses,-0.07,0.24,0.05,,,658,2372,1.13,0.015
D,1.47,micritic mudstone,tuffitic calcareous marls (TCM) with limestone lenses,0.16,0.34,0.03,,,378,1650,1.24,0.02
E,2.14,micritic mudstone,tuffitic calcareous marls (TCM) with limestone lenses,-0.12,0.25,0.03,,,655,2413,1.13,0.015
F,2.69,micritic mudstone,tuffitic calcareous marls (TCM) with limestone lenses,0.03,0.19,0.04,0.708649,0.000011,695,2797,1.14,0.016
1,3.34,micritic mudstone,laminated TCM with micritic limestone lenses,-0.33,,,,,,,,
2,3.62,micritic mudstone,laminated TCM with micritic limestone lenses,1.35,,,,,,,,
3,3.9,micritic mudstone,laminated TCM with micritic limestone lenses,0.78,0.37,0.05,0.70866,0.000011,608,2432,0.97,0.014
4,3.94,micritic mudstone,laminated TCM with micritic limestone lenses,0.69,,,,,,,,
5,4.2,micritic mudstone,laminated TCM with micritic limestone lenses,0.72,,,0.70858,0.000009,544,2323,0.91,0.014
6,4.23,micritic mudstone,laminated TCM with micritic limestone lenses,1.06,,,,,,,,
7,4.4,micritic mudstone,laminated TCM with micritic limestone lenses,2.07,0.35,0.03,,,470,1734,0.89,0.012
8,4.52,micritic mudstone,laminated TCM with micritic limestone lenses,1.83,,,0.708611,0.000018,485,2328,0.81,0.014
9,4.6,micritic mudstone,laminated TCM with micritic limestone lenses,2.41,,,,,,,,
10,4.8,micritic mudstone,laminated TCM with micritic limestone lenses,1.07,,,,,402,3620,0.99,0.032
11,5.12,micritic mudstone,laminated TCM with micritic limestone lenses,1.84,0.82,0.03,0.708386,0.000009,371,3257,0.69,0.022
