"","x"
"1",335.320332256189
"2",335.266805066543
"3",335.213292972698
"4",335.159795979301
"5",335.106314091085
"6",335.052847312865
"7",334.99939564954
"8",334.94595910609
"9",334.892537687585
"10",334.839131399168
"11",334.785740246075
"12",334.732364233617
"13",334.679003367196
"14",334.625657652286
"15",334.572327094455
"16",334.519011699345
"17",334.465711472683
"18",334.412426420279
"19",334.359156548025
"20",334.305901861893
"21",334.252662367939
"22",334.199438072298
"23",334.146228981191
"24",334.093035100916
"25",334.039856437853
"26",333.986692998468
"27",333.933544789299
"28",333.880411816976
"29",333.827294088199
"30",333.774191609756
"31",333.721104388515
"32",333.668032431417
"33",333.614975745495
"34",333.561934337854
"35",333.508908215681
"36",333.455897386242
"37",333.402901856887
"38",333.34992163504
"39",333.296956728208
"40",333.244007143978
"41",333.191072890013
"42",333.138153974059
"43",333.085250403938
"44",333.032362187553
"45",332.979489332884
"46",332.926631847992
"47",332.873789741014
"48",332.820963020167
"49",332.768151693747
"50",332.715355770126
"51",332.662575257754
"52",332.609810165163
"53",332.55706049931
"54",332.504326263963
"55",332.451607461405
"56",332.398904094083
"57",332.346216164621
"58",332.293543675816
"59",332.240886630631
"60",332.188245032206
"61",332.135618883849
"62",332.083008189039
"63",332.030412951426
"64",331.97783317483
"65",331.92526886324
"66",331.872720020819
"67",331.820186651894
"68",331.767668760965
"69",331.715166352698
"70",331.66267943193
"71",331.610208003666
"72",331.557752073079
"73",331.505311645508
"74",331.452886726464
"75",331.400477321622
"76",331.348083436826
"77",331.295705078084
"78",331.243342251574
"79",331.190994963637
"80",331.138663220787
"81",331.086347029694
"82",331.0340463972
"83",330.981761330313
"84",330.929491836202
"85",330.877237922202
"86",330.824999595815
"87",330.772776864707
"88",330.720569736704
"89",330.668378219799
"90",330.616202322148
"91",330.564042052072
"92",330.511897418051
"93",330.45976842873
"94",330.407655092918
"95",330.355557419582
"96",330.303475417855
"97",330.25140909703
"98",330.199358466562
"99",330.147323536064
"100",330.095304315316
"101",330.043300814252
"102",329.991313042969
"103",329.939341011728
"104",329.887384730941
"105",329.835444208255
"106",329.783519445677
"107",329.731610442621
"108",329.679717198877
"109",329.627839714606
"110",329.575977990341
"111",329.524132026988
"112",329.472301825824
"113",329.420487388497
"114",329.368688717027
"115",329.316905813797
"116",329.265138681569
"117",329.213387323465
"118",329.16165174298
"119",329.109931943973
"120",329.058227930672
"121",329.006539707671
"122",328.954867279928
"123",328.903210652767
"124",328.851569831874
"125",328.799944823305
"126",328.748335633473
"127",328.696742269157
"128",328.645164737496
"129",328.593603045991
"130",328.542057202505
"131",328.490527215261
"132",328.439013092841
"133",328.387514844186
"134",328.336032478596
"135",328.284566005729
"136",328.2331154356
"137",328.181680778581
"138",328.130262045401
"139",328.078859247141
"140",328.027472395242
"141",327.976101501497
"142",327.924746578051
