"","V1","V2"
"1",-8,424873.071356141
"2",-7.99,424872.297911557
"3",-7.98,424871.524485944
"4",-7.97,424870.75107929
"5",-7.96,424869.977691581
"6",-7.95,424869.204322806
"7",-7.94,424868.430972955
"8",-7.93,424867.65764202
"9",-7.92,424866.884329993
"10",-7.91,424866.111036867
"11",-7.9,424865.337762636
"12",-7.89,424864.564507297
"13",-7.88,424863.791270847
"14",-7.87,424863.018053283
"15",-7.86,424862.244854606
"16",-7.85,424861.471674815
"17",-7.84,424860.698513912
"18",-7.83,424859.9253719
"19",-7.82,424859.152248783
"20",-7.81,424858.379144567
"21",-7.8,424857.606059257
"22",-7.79,424856.832992861
"23",-7.78,424856.059945389
"24",-7.77,424855.286916848
"25",-7.76000000000001,424854.513907252
"26",-7.75000000000001,424853.740916611
"27",-7.74000000000001,424852.96794494
"28",-7.73000000000001,424852.194992253
"29",-7.72000000000001,424851.422058565
"30",-7.71000000000001,424850.649143894
"31",-7.70000000000001,424849.876248257
"32",-7.69000000000001,424849.103371673
"33",-7.68000000000001,424848.330514164
"34",-7.67000000000001,424847.557675751
"35",-7.66000000000001,424846.784856456
"36",-7.65000000000001,424846.012056303
"37",-7.64000000000001,424845.239275318
"38",-7.63000000000001,424844.466513526
"39",-7.62000000000001,424843.693770955
"40",-7.61000000000001,424842.921047633
"41",-7.60000000000001,424842.148343591
"42",-7.59000000000001,424841.375658858
"43",-7.58000000000001,424840.602993468
"44",-7.57000000000001,424839.830347453
"45",-7.56000000000001,424839.057720848
"46",-7.55000000000001,424838.285113689
"47",-7.54000000000001,424837.512526011
"48",-7.53000000000001,424836.739957853
"49",-7.52000000000001,424835.967409254
"50",-7.51000000000001,424835.194880254
"51",-7.50000000000001,424834.422370895
"52",-7.49000000000001,424833.649881219
"53",-7.48000000000001,424832.877411245
"54",-7.47000000000001,424832.104960947
"55",-7.46000000000001,424831.332530275
"56",-7.45000000000001,424830.560119183
"57",-7.44000000000001,424829.787727626
"58",-7.43000000000001,424829.015355563
"59",-7.42000000000001,424828.243002955
"60",-7.41000000000001,424827.470669765
"61",-7.40000000000001,424826.698355958
"62",-7.39000000000001,424825.926061503
"63",-7.38000000000001,424825.15378637
"64",-7.37000000000001,424824.381530532
"65",-7.36000000000001,424823.609293964
"66",-7.35000000000001,424822.837076645
"67",-7.34000000000001,424822.064878555
"68",-7.33000000000001,424821.292699675
"69",-7.32000000000001,424820.520539993
"70",-7.31000000000001,424819.748399495
"71",-7.30000000000001,424818.976278172
"72",-7.29000000000002,424818.204176015
"73",-7.28000000000002,424817.43209302
"74",-7.27000000000002,424816.660029185
"75",-7.26000000000002,424815.887984509
"76",-7.25000000000002,424815.115958995
"77",-7.24000000000002,424814.343952647
"78",-7.23000000000002,424813.571965473
"79",-7.22000000000002,424812.799997482
"80",-7.21000000000002,424812.028048686
"81",-7.20000000000002,424811.2561191
"82",-7.19000000000002,424810.48420874
"83",-7.18000000000002,424809.712317627
"84",-7.17000000000002,424808.940445782
"85",-7.16000000000002,424808.168593229
"86",-7.15000000000002,424807.396759995
"87",-7.14000000000002,424806.62494611
"88",-7.13000000000002,424805.853151604
"89",-7.12000000000002,424805.081376511
"90",-7.11000000000002,424804.309620869
"91",-7.10000000000002,424803.537884716
"92",-7.09000000000002,424802.766168093
"93",-7.08000000000002,424801.994471045
"94",-7.07000000000002,424801.222793616
"95",-7.06000000000002,424800.451135857
"96",-7.05000000000002,424799.679497818
"97",-7.04000000000002,424798.907879552
"98",-7.03000000000002,424798.136281115
"99",-7.02000000000002,424797.364702566
"100",-7.01000000000002,424796.593143966
"101",-7.00000000000002,424795.821605377
"102",-6.99000000000002,424795.050086866
"103",-6.98000000000002,424794.2785885
"104",-6.97000000000002,424793.50711035
"105",-6.96000000000002,424792.735652445
"106",-6.95000000000002,424791.964214731
"107",-6.94000000000002,424791.192797114
"108",-6.93000000000002,424790.421399508
"109",-6.92000000000002,424789.65002183
"110",-6.91000000000002,424788.878664004
"111",-6.90000000000002,424788.107325958
"112",-6.89000000000002,424787.336007625
"113",-6.88000000000002,424786.564708947
"114",-6.87000000000002,424785.793429867
"115",-6.86000000000002,424785.022170337
"116",-6.85000000000002,424784.250930312
"117",-6.84000000000002,424783.479709753
"118",-6.83000000000002,424782.708508627
"119",-6.82000000000003,424781.937326906
"120",-6.81000000000003,424781.166164568
"121",-6.80000000000003,424780.395021595
"122",-6.79000000000003,424779.623897976
"123",-6.78000000000003,424778.852793705
"124",-6.77000000000003,424778.081708781
"125",-6.76000000000003,424777.310643208
"126",-6.75000000000003,424776.539596997
"127",-6.74000000000003,424775.768570163
"128",-6.73000000000003,424774.997562726
"129",-6.72000000000003,424774.226574713
"130",-6.71000000000003,424773.455606156
"131",-6.70000000000003,424772.684657092
"132",-6.69000000000003,424771.913727562
"133",-6.68000000000003,424771.142817616
"134",-6.67000000000003,424770.371927306
"135",-6.66000000000003,424769.601056691
"136",-6.65000000000003,424768.830205834
"137",-6.64000000000003,424768.059374807
"138",-6.63000000000003,424767.288563682
"139",-6.62000000000003,424766.517772541
"140",-6.61000000000003,424765.74700147
"141",-6.60000000000003,424764.976250558
"142",-6.59000000000003,424764.205519904
"143",-6.58000000000003,424763.434809608
"144",-6.57000000000003,424762.664119777
"145",-6.56000000000003,424761.893450526
"146",-6.55000000000003,424761.12280197
"147",-6.54000000000003,424760.352174235
"148",-6.53000000000003,424759.581567448
"149",-6.52000000000003,424758.810981744
"150",-6.51000000000003,424758.040417263
"151",-6.50000000000003,424757.269874148
"152",-6.49000000000003,424756.499352552
"153",-6.48000000000003,424755.728852629
"154",-6.47000000000003,424754.95837454
"155",-6.46000000000003,424754.187918452
"156",-6.45000000000003,424753.417484537
"157",-6.44000000000003,424752.647072965
"158",-6.43000000000003,424751.876683897
"159",-6.42000000000003,424751.106317484
"160",-6.41000000000003,424750.335973877
"161",-6.40000000000003,424749.565653222
"162",-6.39000000000003,424748.795355662
"163",-6.38000000000003,424748.025081338
"164",-6.37000000000003,424747.254830388
"165",-6.36000000000003,424746.484602948
"166",-6.35000000000004,424745.714399149
"167",-6.34000000000004,424744.94421912
"168",-6.33000000000004,424744.174062989
"169",-6.32000000000004,424743.403930878
"170",-6.31000000000004,424742.63382291
"171",-6.30000000000004,424741.863739201
"172",-6.29000000000004,424741.093679866
"173",-6.28000000000004,424740.323645019
"174",-6.27000000000004,424739.553634768
"175",-6.26000000000004,424738.783649219
"176",-6.25000000000004,424738.013688477
"177",-6.24000000000004,424737.243752643
"178",-6.23000000000004,424736.473841813
"179",-6.22000000000004,424735.703956084
"180",-6.21000000000004,424734.934095548
"181",-6.20000000000004,424734.164260293
"182",-6.19000000000004,424733.394450408
